time_s,force_n,displacement_m,displacement_mm,velocity_m_s,acceleration_m_s2,acceleration_g
2.156,2.390135742443731e-19,-3.822701701908996e-12,-3.822701701908996e-09,1.637861293858208e-09,2.011498435940153e-06,2.0511575675079186e-07
2.157,1.9860992102381474e-19,-1.7994880206889327e-12,-1.7994880206889327e-09,3.3590143229704136e-09,1.9538549581021814e-07,1.9923775785841052e-08
2.158,1.6494821055691605e-19,1.0050828487737864e-12,1.0050828487737863e-09,3.049840172612435e-09,-1.5395258436649182e-06,-1.5698794630836406e-07
2.1590000000000003,1.369206182690247e-19,3.5948493847398104e-12,3.5948493847398102e-09,2.413340131045955e-10,-2.408931824867894e-06,-2.456426837776299e-07
2.16,1.135981581917137e-19,3.2055228396130602e-12,3.2055228396130604e-09,-2.4245286525413363e-09,-1.3815233080645e-06,-1.4087617158402716e-07
2.161,9.420238290178561e-20,7.738489393551155e-13,7.738489393551154e-10,-3.648553389964431e-09,5.559838228035605e-07,5.6694571826623825e-08
2.162,7.808146430852263e-20,-2.167982719488604e-12,-2.167982719488604e-09,-2.3010662515612085e-09,2.0786955092899028e-06,2.1196795126673257e-07
2.1630000000000003,6.468999305382476e-20,-4.025626747477535e-12,-4.025626747477535e-09,1.0026155461932683e-09,2.327985374125923e-06,2.3738844295716917e-07
2.164,5.357193192790122e-20,-2.3900931332303943e-12,-2.3900931332303943e-09,3.1419631433952022e-09,6.426674146279782e-07,6.55338382248758e-08
2.165,4.4346242304152845e-20,3.873083982544924e-13,3.8730839825449235e-10,3.583749630974921e-09,-1.2926296503576083e-06,-1.318115411845644e-07
2.166,3.6694774132271e-20,3.1922732750344156e-12,3.1922732750344157e-09,1.232209171436354e-09,-2.4347391278079253e-06,-2.482742962997482e-07
2.1670000000000003,3.0352071196638275e-20,3.899030636006502e-12,3.899030636006502e-09,-2.1112588070593327e-09,-1.9236947755037924e-06,-1.9616227514021532e-07
2.168,2.5096795613498344e-20,1.3879887231167025e-12,1.3879887231167026e-09,-3.6824071156858435e-09,1.6624721420664764e-07,1.6952497968893316e-08
2.169,2.0744520166814634e-20,-1.6041286959830987e-12,-1.6041286959830986e-09,-3.1310183321533993e-09,1.952844876073247e-06,1.9913475815627632e-07
2.17,1.7141675157261408e-20,-3.940047652539817e-12,-3.940047652539817e-09,6.038118658499506e-11,2.545910662331245e-06,2.5961063791725464e-07
2.1710000000000003,1.4160468897425356e-20,-3.154009632391553e-12,-3.154009632391553e-09,2.8992418952485375e-09,1.2101619008439408e-06,1.2340217106187546e-07
2.172,1.1694628635431974e-20,-2.1517947729461598e-13,-2.15179477294616e-10,3.941055249625147e-09,-1.0043972262878472e-06,-1.0242001359157788e-07
2.173,9.655832221862523e-21,2.772239613006635e-12,2.772239613006635e-09,2.2956491095146774e-09,-2.470259544312334e-06,-2.518963707598756e-07
2.174,7.970720847294867e-21,4.275045197659448e-12,4.2750451976594475e-09,-1.4338371458738072e-09,-2.3650428633101123e-06,-2.411672552105064e-07
2.1750000000000003,6.578400181978799e-21,2.1446107178539957e-12,2.1446107178539957e-09,-3.59312819231669e-09,-3.519451039876839e-07,-3.5888412861444415e-08
2.176,5.4283516849336705e-21,-1.078045746934038e-12,-1.078045746934038e-09,-3.847087017617103e-09,1.818499343389168e-06,1.8543532637436515e-07
2.177,4.478688094227964e-21,-3.772002815068334e-12,-3.772002815068334e-09,-1.1211837796750642e-09,2.7796790509831917e-06,2.8344837951626617e-07
2.178,3.69469748690802e-21,-4.077134810416601e-12,-4.077134810416602e-09,2.699895416184763e-09,1.8686444566596052e-06,1.9054870487471312e-07
2.179,3.047629082959284e-21,-9.225254143878316e-13,-9.225254143878316e-10,4.134887062385795e-09,-6.004736486877905e-07,-6.123127150329527e-08
2.18,2.513681400060854e-21,2.4153917061531264e-12,2.4153917061531265e-09,3.364019625492315e-09,-2.548321130627083e-06,-2.598564372774682e-07
2.181,2.073159647524119e-21,4.4793776882805985e-12,4.479377688280598e-09,-3.129692428903787e-10,-2.8234594844080972e-06,-2.879127412937239e-07
2.182,1.7097745520373627e-21,3.262381335400547e-12,3.262381335400547e-09,-3.6300295049449978e-09,-1.068465247677061e-06,-1.0895313360597768e-07
2.183,1.410059282677344e-21,-5.050237857211711e-13,-5.050237857211711e-10,-4.425078143584937e-09,1.6135200221859412e-06,1.6453325265875107e-07
2.184,1.1628849143045194e-21,-3.705131276105731e-12,-3.705131276105731e-09,-2.4880011799917526e-09,3.1330652745901373e-06,3.1948374568177076e-07
2.185,9.590580445460704e-22,-4.779144353661214e-12,-4.7791443536612146e-09,1.898774104138436e-09,2.558008590938529e-06,2.608442833116843e-07
2.186,7.909868516662516e-22,-2.0041124885617003e-12,-2.0041124885617e-09,4.343639055490942e-09,4.260337758191735e-08,4.344335484790153e-09
2.187,6.524041266638285e-22,2.1162710689441744e-12,2.1162710689441744e-09,4.400739467414037e-09,-2.6547501380108706e-06,-2.707091757135077e-07
2.188,5.381376991193334e-22,4.854799869901362e-12,4.854799869901362e-09,1.2417673823391293e-09,-3.519175111542644e-06,-3.5885599175484436e-07
2.189,4.439202588716829e-22,4.580010085884913e-12,4.580010085884913e-09,-3.5177863923800215e-09,-1.9583238367934785e-06,-1.9969345666394524e-07
2.19,3.6623190220239504e-22,4.165169382618194e-13,4.1651693826181937e-10,-4.9933420295921005e-09,1.1789654809291718e-06,1.202210215444797e-07
2.191,3.0216984225287634e-22,-3.9047849513086065e-12,-3.9047849513086065e-09,-4.037943103306106e-09,3.713031448461958e-06,3.786238367293579e-07
2.192,2.493406530859821e-22,-5.794776325677098e-12,-5.794776325677098e-09,3.4098698021064637e-10,3.6711384716068845e-06,3.743519419584552e-07
2.193,2.0577119405083455e-22,-3.8281348218429114e-12,-3.828134821842911e-09,5.085831556371044e-09,1.0138186433286133e-06,1.0338073076214747e-07
2.194,1.6983501034347863e-22,1.6057265149650066e-12,1.6057265149650066e-09,5.535861534897745e-09,-2.6521979540759896e-06,-2.7044892537981773e-07
2.195,1.4019154749472954e-22,5.952858113549741e-12,5.952858113549741e-09,3.359159712762846e-09,-4.848429580957228e-06,-4.944022251183868e-07
2.196,1.1573596933826912e-22,6.528620802488793e-12,6.528620802488793e-09,-2.2544544466436973e-09,-3.5929579973761057e-06,-3.6637975224731237e-07
2.197,9.555774545804363e-23,2.503194957536812e-12,2.503194957536812e-09,-6.67051917508511e-09,3.083621122378576e-07,3.1444184531706304e-08
2.198,7.89064874985803e-23,-4.360898309613278e-12,-4.360898309613278e-09,-6.051182635993883e-09,4.5943849083731564e-06,4.684968779729221e-07
2.199,6.516377439953163e-23,-8.68413770872206e-12,-8.68413770872206e-09,-2.4753526729656744e-09,6.3687959663727935e-06,6.49436450405877e-07
2.2,5.381992327783886e-23,-7.309368443534195e-12,-7.309368443534195e-09,4.6217630289415836e-09,3.4135078378860655e-06,3.4808092854196546e-07
2.201,4.4454842621317725e-23,-5.358073817314298e-13,-5.358073817314298e-10,8.858049082692109e-09,-2.223579470524708e-06,-2.2674200369389224e-07
2.202,3.6722253786445314e-23,8.996597115175798e-12,8.996597115175798e-09,7.057919334815506e-09,-7.902762405471856e-06,-8.058574952172103e-07
2.203,3.0336690627834616e-23,1.4298614944568343e-11,1.4298614944568343e-08,1.9839576726289694e-09,-9.878954429227651e-06,-1.0073729998753553e-06
2.204,2.506278970624325e-23,9.916863332234086e-12,9.916863332234087e-09,-7.93840906174742e-09,-4.146895474812774e-06,-4.22865654919139e-07
2.205,2.0706468502518317e-23,-2.4074048652089882e-12,-2.4074048652089883e-09,-1.441752351233352e-08,5.752818949132613e-06,5.866242752757174e-07
2.206,1.7107659391420314e-23,-1.4563947108341974e-11,-1.4563947108341974e-08,-6.629141810842531e-09,1.1400442034272891e-05,1.1625215577463142e-06
2.207,1.413432529198223e-23,-1.6756510477177196e-11,-1.6756510477177197e-08,3.931442061611257e-09,9.760390007131756e-06,9.952827935260009e-07
2.208,1.167753098425821e-23,-6.9156767207898534e-12,-6.915676720789854e-09,1.0940345883455501e-08,1.322589763659963e-06,1.3486662251227107e-07
2.209,9.647383793496608e-24,4.646284424066813e-12,4.646284424066813e-09,9.224489583193107e-09,-5.7015191342657165e-06,-5.813931499814633e-07
2.21,7.969690128276412e-24,1.1214964600107844e-11,1.1214964600107845e-08,2.64082356921452e-09,-8.063432538433641e-06,-8.222412891694556e-07
2.211,6.583201413030916e-24,9.268249244817697e-12,9.268249244817697e-09,-5.098122926494305e-09,-4.549655635981398e-06,-4.6393576154766386e-07
2.212,5.437345268787309e-24,2.151572438301822e-12,2.151572438301822e-09,-7.734918297090308e-09,8.4621016802186e-07,8.628942279186675e-08
2.213,4.490356191438086e-24,-4.690934350240928e-12,-4.690934350240928e-09,-5.5324906700659355e-09,4.658493736573813e-06,4.7503415912404473e-07
2.214,3.707735136078566e-24,-7.550998154955843e-12,-7.550998154955842e-09,3.4173295320211947e-10,4.813541632587553e-06,4.908446444593774e-07
2.215,3.0609799036876414e-24,-5.025304267915645e-12,-5.025304267915645e-09,4.612735860464626e-09,1.930088555176029e-06,1.9681425921961417e-07
2.216,2.5265385100126956e-24,-1.6548820803319451e-13,-1.6548820803319451e-10,5.379098493292682e-09,-1.4543030800210263e-06,-1.482976429281178e-07
2.217,2.084946182598272e-24,4.226879528810219e-12,4.2268795288102185e-09,2.3326087353674813e-09,-3.427398635463934e-06,-3.494973956921002e-07
2.218,1.7201135999106837e-24,5.06599259270977e-12,5.06599259270977e-09,-1.553486129761855e-09,-2.844899649898394e-06,-2.9009902972966246e-07
2.219,1.4187397203928618e-24,3.0389032323415896e-12,3.0389032323415895e-09,-3.923806040761224e-09,-8.377613753153472e-07,-8.542788570157467e-08
2.22,1.1698272668127073e-24,-9.581568280797419e-13,-9.581568280797418e-10,-3.375849688985766e-09,1.603661176285223e-06,1.6352793015812977e-07
2.221,9.642828121567218e-25,-4.233994386578675e-12,-4.233994386578674e-09,-4.861474672307353e-10,2.8958559529227827e-06,2.95295126564401e-07
2.222,7.94586605680488e-25,-3.915731353439882e-12,-3.915731353439882e-09,2.2452430271306065e-09,1.8956544025843804e-06,1.9330295285182814e-07
2.223,6.545199036398742e-25,-1.440499756923629e-12,-1.440499756923629e-09,3.31386945604192e-09,-2.5067660178674424e-08,-2.55618995056155e-09
2.224,5.389397292091471e-25,2.3057867791791093e-12,2.305786779179109e-09,1.9416893512808523e-09,-2.063997406037119e-06,-2.1046916184804383e-07
2.225,4.435927629206768e-25,3.705653949513075e-12,3.705653949513075e-09,-5.372280994282762e-10,-2.254945358095774e-06,-2.299404341029581e-07
2.226,3.6496152672995123e-25,2.9670800227754415e-12,2.9670800227754413e-09,-2.500808000825309e-09,-1.204239601193099e-06,-1.2279826456466775e-07
2.227,3.0013722755091325e-25,-2.0976442378094645e-14,-2.0976442378094645e-11,-2.624836204615778e-09,7.758421755314735e-07,7.911388451015113e-08
2.228,2.4671461588360627e-25,-3.0698860567485733e-12,-3.0698860567485733e-09,-9.127337913945193e-10,2.2623438644365928e-06,2.306948717897134e-07
